Block size 	   Merge sort time 	   Quick sort time 
  43600 	       0.005138 	      0.004151 
  43700 	       0.005119 	      0.004131 
  43800 	       0.005158 	      0.004135 
  43900 	       0.005151 	      0.004115 
  44000 	       0.005158 	      0.004096 
  44100 	       0.005167 	      0.004193 
  44200 	       0.005222 	      0.004208 
  44300 	       0.005209 	      0.004205 
  44400 	       0.005231 	      0.004245 
  44500 	       0.005241 	      0.004254 
  44600 	       0.005224 	      0.004287 
  44700 	       0.005244 	      0.004280 
  44800 	       0.005256 	      0.004226 
  44900 	       0.005268 	      0.004246 
  45000 	       0.005315 	      0.004315 
  45100 	       0.005282 	      0.004240 
  45200 	       0.005309 	      0.004272 
  45300 	       0.005310 	      0.004315 
  45400 	       0.005319 	      0.004317 
  45500 	       0.005340 	      0.004615 
  45600 	       0.005370 	      0.004319 
  45700 	       0.005373 	      0.004323 
  45800 	       0.005289 	      0.004291 
  45900 	       0.005294 	      0.004227 
  46000 	       0.005290 	      0.004252 
  46100 	       0.005356 	      0.004285 
  46200 	       0.005326 	      0.004294 
  46300 	       0.005333 	      0.004309 
  46400 	       0.005355 	      0.004371 
  46500 	       0.005376 	      0.004342 
  46600 	       0.005366 	      0.004327 
  46700 	       0.005379 	      0.004427 
  46800 	       0.005386 	      0.004323 
  46900 	       0.005405 	      0.004386 
  47000 	       0.005486 	      0.004423 
  47100 	       0.005434 	      0.004371 
  47200 	       0.005454 	      0.004450 
  47300 	       0.005575 	      0.004489 
  47400 	       0.005556 	      0.004542 
  47500 	       0.005576 	      0.004541 
  47600 	       0.005606 	      0.004584 
  47700 	       0.005604 	      0.004603 
  47800 	       0.005621 	      0.004574 
  47900 	       0.005665 	      0.004582 
  48000 	       0.005524 	      0.004532 
  48100 	       0.005540 	      0.004546 
  48200 	       0.005555 	      0.004456 
  48300 	       0.005556 	      0.004617 
  48400 	       0.005592 	      0.004521 
  48500 	       0.005582 	      0.004553 
  48600 	       0.005593 	      0.004526 
  48700 	       0.005596 	      0.004591 
  48800 	       0.005628 	      0.004575 
  48900 	       0.005611 	      0.004616 
  49000 	       0.005713 	      0.004710 
  49100 	       0.005743 	      0.004645 
  49200 	       0.005787 	      0.004683 
  49300 	       0.005816 	      0.004735 
  49400 	       0.005824 	      0.004767 
  49500 	       0.005915 	      0.004818 
  49600 	       0.005715 	      0.004715 
  49700 	       0.005746 	      0.004611 
  49800 	       0.005749 	      0.004625 
  49900 	       0.005760 	      0.004635 
  50000 	       0.005777 	      0.004729 
  50100 	       0.005807 	      0.004725 
  50200 	       0.005804 	      0.004700 
  50300 	       0.005819 	      0.004763 
  50400 	       0.005838 	      0.004757 
  50500 	       0.005861 	      0.004708 
  50600 	       0.005868 	      0.004745 
  50700 	       0.005873 	      0.004820 
  50800 	       0.005886 	      0.004764 
  50900 	       0.006017 	      0.004928 
  51000 	       0.006035 	      0.004945 
  51100 	       0.006052 	      0.004995 
  51200 	       0.006072 	      0.004889 
  51300 	       0.006080 	      0.004995 
  51400 	       0.006117 	      0.005018 
  51500 	       0.006014 	      0.004890 
  51600 	       0.006098 	      0.005034 
  51700 	       0.006153 	      0.005035 
  51800 	       0.006167 	      0.005022 
  51900 	       0.006179 	      0.005048 
  52000 	       0.006195 	      0.005087 
  52100 	       0.006222 	      0.005022 
  52200 	       0.006224 	      0.005061 
  52300 	       0.006238 	      0.005049 
  52400 	       0.006238 	      0.004995 
  52500 	       0.006238 	      0.005042 
  52600 	       0.006255 	      0.005050 
  52700 	       0.006278 	      0.005022 
  52800 	       0.006266 	      0.005115 
  52900 	       0.006277 	      0.005097 
  53000 	       0.006287 	      0.005235 
  53100 	       0.006299 	      0.005140 
  53200 	       0.006305 	      0.005097 
  53300 	       0.006317 	      0.005184 
  53400 	       0.006218 	      0.005135 
  53500 	       0.006245 	      0.005195 
  53600 	       0.006243 	      0.005007 
  53700 	       0.006260 	      0.005064 
  53800 	       0.006287 	      0.005068 
  53900 	       0.006291 	      0.005046 
  54000 	       0.006332 	      0.005233 
  54100 	       0.006300 	      0.005120 
  54200 	       0.006341 	      0.005101 
  54300 	       0.006359 	      0.005148 
  54400 	       0.006358 	      0.005099 
  54500 	       0.006370 	      0.005174 
  54600 	       0.006356 	      0.005187 
  54700 	       0.006487 	      0.005245 
  54800 	       0.006468 	      0.005209 
  54900 	       0.006448 	      0.005351 
  55000 	       0.006472 	      0.005287 
  55100 	       0.006438 	      0.005276 
  55200 	       0.006441 	      0.005372 
  55300 	       0.006549 	      0.005275 
  55400 	       0.006520 	      0.005332 
  55500 	       0.006662 	      0.005464 
  55600 	       0.006658 	      0.005445 
  55700 	       0.006699 	      0.005473 
  55800 	       0.006706 	      0.005384 
  55900 	       0.006565 	      0.005402 
  56000 	       0.006539 	      0.005456 
  56100 	       0.006689 	      0.005488 
  56200 	       0.006698 	      0.005547 
  56300 	       0.006757 	      0.005495 
  56400 	       0.006704 	      0.005472 
  56500 	       0.006689 	      0.005410 
  56600 	       0.006592 	      0.005387 
  56700 	       0.006595 	      0.005419 
  56800 	       0.006635 	      0.005385 
  56900 	       0.006603 	      0.005360 
  57000 	       0.006610 	      0.005396 
  57100 	       0.006642 	      0.005417 
  57200 	       0.006759 	      0.005591 
  57300 	       0.006766 	      0.005561 
  57400 	       0.006780 	      0.005491 
  57500 	       0.006791 	      0.005594 
  57600 	       0.006807 	      0.005586 
  57700 	       0.006731 	      0.005591 
  57800 	       0.006697 	      0.005506 
  57900 	       0.006769 	      0.005544 
  58000 	       0.006738 	      0.005528 
  58100 	       0.006756 	      0.005692 
  58200 	       0.006989 	      0.005479 
  58300 	       0.006791 	      0.005535 
  58400 	       0.006806 	      0.005653 
  58500 	       0.006964 	      0.005723 
  58600 	       0.006972 	      0.005667 
  58700 	       0.006998 	      0.005662 
  58800 	       0.007014 	      0.005724 
  58900 	       0.006914 	      0.005660 
  59000 	       0.006943 	      0.005630 
  59100 	       0.006905 	      0.005766 
  59200 	       0.006987 	      0.005789 
  59300 	       0.006933 	      0.005588 
  59400 	       0.006968 	      0.005612 
  59500 	       0.006969 	      0.005670 
  59600 	       0.006980 	      0.005671 
  59700 	       0.007004 	      0.005695 
  59800 	       0.007000 	      0.005786 
  59900 	       0.007032 	      0.005650 
  60000 	       0.007056 	      0.005673 
  60100 	       0.007041 	      0.005731 
  60200 	       0.007060 	      0.005714 
  60300 	       0.007070 	      0.005676 
  60400 	       0.007099 	      0.005818 
  60500 	       0.007093 	      0.005761 
  60600 	       0.007124 	      0.005781 
  60700 	       0.007122 	      0.005785 
  60800 	       0.007134 	      0.005836 
  60900 	       0.007166 	      0.005848 
  61000 	       0.007160 	      0.005892 
  61100 	       0.007401 	      0.005859 
  61200 	       0.007172 	      0.005919 
  61300 	       0.007199 	      0.005927 
  61400 	       0.007263 	      0.005920 
  61500 	       0.007227 	      0.006008 
  61600 	       0.007236 	      0.005934 
  61700 	       0.007252 	      0.005872 
  61800 	       0.007283 	      0.005911 
  61900 	       0.007276 	      0.006009 
  62000 	       0.007292 	      0.005918 
  62100 	       0.007296 	      0.006061 
  62200 	       0.007300 	      0.005938 
  62300 	       0.007321 	      0.005982 
  62400 	       0.007339 	      0.006078 
  62500 	       0.007386 	      0.005992 
  62600 	       0.007364 	      0.005986 
  62700 	       0.007405 	      0.005902 
  62800 	       0.007411 	      0.006200 
  62900 	       0.007400 	      0.006011 
  63000 	       0.007551 	      0.006163 
  63100 	       0.007570 	      0.006201 
  63200 	       0.007578 	      0.006162 
  63300 	       0.007590 	      0.006163 
  63400 	       0.007599 	      0.006199 
  63500 	       0.007646 	      0.006318 
  63600 	       0.007630 	      0.006225 
  63700 	       0.007646 	      0.006358 
  63800 	       0.007686 	      0.006266 
  63900 	       0.007675 	      0.006340 
  64000 	       0.007682 	      0.006205 
  64100 	       0.007690 	      0.006271 
  64200 	       0.007714 	      0.006240 
  64300 	       0.007717 	      0.006232 
  64400 	       0.007586 	      0.006200 
  64500 	       0.007616 	      0.006218 
  64600 	       0.007601 	      0.006166 
  64700 	       0.007644 	      0.006221 
  64800 	       0.007808 	      0.006374 
  64900 	       0.007752 	      0.006309 
  65000 	       0.007682 	      0.006320 
  65100 	       0.007823 	      0.006439 
  65200 	       0.007791 	      0.006427 
  65300 	       0.007830 	      0.006465 
  65400 	       0.007856 	      0.006459 
  65500 	       0.007707 	      0.006346 
  65600 	       0.007707 	      0.006335 
  65700 	       0.007719 	      0.006354 
  65800 	       0.007755 	      0.006347 
  65900 	       0.007792 	      0.006429 
  66000 	       0.007786 	      0.006312 
  66100 	       0.007845 	      0.006351 
  66200 	       0.007848 	      0.006357 
  66300 	       0.007853 	      0.006438 
  66400 	       0.007884 	      0.006396 
  66500 	       0.007957 	      0.006568 
  66600 	       0.008067 	      0.006479 
  66700 	       0.008086 	      0.006579 
  66800 	       0.008070 	      0.006618 
  66900 	       0.008085 	      0.006367 
  67000 	       0.007953 	      0.006508 
  67100 	       0.008111 	      0.006475 
  67200 	       0.008121 	      0.006652 
  67300 	       0.008148 	      0.006596 
  67400 	       0.008156 	      0.006664 
  67500 	       0.008001 	      0.006433 
  67600 	       0.008174 	      0.006667 
  67700 	       0.008192 	      0.006784 
  67800 	       0.008212 	      0.006765 
  67900 	       0.008227 	      0.006735 
  68000 	       0.008106 	      0.006608 
  68100 	       0.008106 	      0.006649 
  68200 	       0.008118 	      0.006592 
  68300 	       0.008142 	      0.006513 
  68400 	       0.008157 	      0.006716 
  68500 	       0.008154 	      0.006642 
  68600 	       0.008203 	      0.006710 
  68700 	       0.008194 	      0.006697 
  68800 	       0.008206 	      0.006960 
  68900 	       0.008218 	      0.006820 
  69000 	       0.008251 	      0.006713 
  69100 	       0.008404 	      0.006813 
  69200 	       0.008397 	      0.006798 
  69300 	       0.008346 	      0.006626 
  69400 	       0.008279 	      0.006816 
  69500 	       0.008265 	      0.006711 
  69600 	       0.008281 	      0.006803 
  69700 	       0.008298 	      0.006779 
  69800 	       0.008314 	      0.006724 
  69900 	       0.008359 	      0.006787 
  70000 	       0.008388 	      0.006814 
  70100 	       0.008425 	      0.006847 
  70200 	       0.008397 	      0.006858 
  70300 	       0.008413 	      0.006787 
  70400 	       0.008452 	      0.006780 
  70500 	       0.008442 	      0.006809 
  70600 	       0.008465 	      0.006824 
  70700 	       0.008522 	      0.006756 
  70800 	       0.008495 	      0.006746 
  70900 	       0.008518 	      0.006841 
  71000 	       0.008519 	      0.006765 
  71100 	       0.008526 	      0.007104 
  71200 	       0.008535 	      0.007001 
  71300 	       0.008550 	      0.006845 
  71400 	       0.008617 	      0.007107 
  71500 	       0.008778 	      0.007009 
  71600 	       0.008606 	      0.006918 
  71700 	       0.008617 	      0.007115 
  71800 	       0.008767 	      0.007106 
  71900 	       0.008588 	      0.006895 
  72000 	       0.008627 	      0.007014 
  72100 	       0.008653 	      0.006973 
  72200 	       0.008710 	      0.006937 
  72300 	       0.008694 	      0.007065 
  72400 	       0.008715 	      0.007061 
  72500 	       0.008738 	      0.007012 
  72600 	       0.008691 	      0.007187 
  72700 	       0.008757 	      0.007130 
  72800 	       0.008731 	      0.007108 
  72900 	       0.008704 	      0.007243 
  73000 	       0.008836 	      0.007551 
  73100 	       0.008721 	      0.007095 
  73200 	       0.008768 	      0.007236 
